Sat 294: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 295: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 296: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 297: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 298: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 299: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 75: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 76: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 77: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 78: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 79: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 80: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 0: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 1: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 2: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 3: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 225: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 226: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 227: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 228: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 229: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 230: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 81: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 82: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 83: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 231: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 4: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 232: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 233: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 150: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 5: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 6: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 84: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 234: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 151: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 235: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 152: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 153: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 154: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 155: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 156: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 157: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 158: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 159: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 160: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 85: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 86: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 87: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 161: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 162: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 163: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 7: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 88: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 89: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
